FID,ID,Site,Transect,StartEnd,UTMn,UTMe,Note,Lat,Long
230,Meay_High_36,MEAY,High,End,5723944.030000000260770,562423.940999999991618,Was called Meay_High_2,51.663010551500001,-128.097452685000007
231,Foggy Low 0,WB,Low,Start,5722602.173000000417233,559255.462100000004284, ,51.651289677400001,-128.143485465999987
232,Foggy Low 1, , ,1,5722601.574000000022352,559254.661300000036135, ,51.651284376500001,-128.143497141000012
233,Foggy Low 2, , ,2,5722600.974999999627471,559253.860400000005029, ,51.651279075600002,-128.143508817999987
234,Foggy Low 3, , ,3,5722600.376000000163913,559253.059499999973923, ,51.651273774700002,-128.143520494999990
235,Foggy Low 4, , ,4,5722599.776999999769032,559252.258599999942817, ,51.651268473800002,-128.143532171999993
236,Foggy Low 5, , ,5,5722599.178000000305474,559251.457799999974668, ,51.651263172900002,-128.143543846999989
237,Foggy Low 6, , ,6,5722598.580000000074506,559250.656899999943562, ,51.651257880999999,-128.143555523999993
238,Foggy Low 7, , ,7,5722597.980999999679625,559249.856000000028871, ,51.651252580100000,-128.143567200000007
239,Foggy Low 8, , ,8,5722597.382000000216067,559249.055199999944307, ,51.651247279200000,-128.143578875999992
240,Foggy Low 9, , ,9,5722596.782999999821186,559248.254300000029616, ,51.651241978400002,-128.143590552000006
241,Foggy Low 10, , ,10,5722596.184000000357628,559247.453399999998510, ,51.651236677500002,-128.143602229000010
242,Foggy Low 11, , ,11,5722595.584999999962747,559246.652499999967404, ,51.651231376600002,-128.143613906000013
243,Foggy Low 12, , ,12,5722594.986999999731779,559245.851699999999255, ,51.651226084699999,-128.143625581000009
244,Foggy Low 13, , ,13,5722594.388000000268221,559245.050799999968149, ,51.651220783799999,-128.143637258000012
245,Foggy Low 14, , ,14,5722593.788999999873340,559244.249900000053458, ,51.651215482900000,-128.143648934999987
246,Foggy Low 15, , ,15,5722593.190000000409782,559243.449000000022352, ,51.651210182000000,-128.143660611000001
247,Foggy Low 16, , ,16,5722592.591000000014901,559242.648200000054203, ,51.651204881100000,-128.143672286999987
248,Foggy Low 17, , ,17,5722591.991999999620020,559241.847300000023097, ,51.651199580200000,-128.143683963999990
249,Foggy Low 18, , ,18,5722591.393000000156462,559241.046399999991991, ,51.651194279300000,-128.143695640000004
250,Foggy Low 19, , ,19,5722590.794999999925494,559240.245600000023842, ,51.651188987300003,-128.143707315000000
251,Foggy Low 20, , ,20,5722590.196000000461936,559239.444699999992736, ,51.651183686400003,-128.143718992000004
252,Foggy Low 21, , ,21,5722589.597000000067055,559238.643799999961630, ,51.651178385500003,-128.143730669000007
253,Foggy Low 22, , ,22,5722588.997999999672174,559237.842900000046939, ,51.651173084600003,-128.143742346000010
254,Foggy Low 23, , ,23,5722588.399000000208616,559237.042099999962375, ,51.651167783699997,-128.143754021000007
255,Foggy Low 24, , ,24,5722587.799999999813735,559236.241200000047684, ,51.651162482799997,-128.143765698000010
