Site,Zone,non.alga.flag,taxon,Abundance,rank,total,prop,csum
Fifth Beach,LOW,Algae,Alaria.marginata,14.625,1,123.5,0.12,0.12
Fifth Beach,LOW,Algae,Phyllospadix.scouleri,11.01875,2,123.5,0.09,0.21
Fifth Beach,LOW,Algae,Hildenbrandia.sp.,10.40625,3,123.5,0.08,0.29
Fifth Beach,LOW,Algae,Plocamium.violaceum,10.31875,4,123.5,0.08,0.38
Fifth Beach,LOW,Algae,Neorhodomela.larix,9.05,5,123.5,0.07,0.45
Fifth Beach,LOW,Algae,Ptilota.filicina,7.6125,6,123.5,0.06,0.51
Fifth Beach,LOW,Algae,Mazzaella.splendens,5.88125,7,123.5,0.05,0.56
Fifth Beach,LOW,Algae,Pyropia.abbottiae,4.5625,8,123.5,0.04,0.59
Fifth Beach,LOW,Algae,Hymenena.sp.,3.41875,9,123.5,0.03,0.62
Fifth Beach,LOW,Algae,Chamberlainium.tumidum,3.4,10,123.5,0.03,0.65
Fifth Beach,LOW,Algae,Mazzaella.oregona,2.5125,11,123.5,0.02,0.67
Fifth Beach,LOW,Algae,Microcladia.borealis,2.21875,12,123.5,0.02,0.69
Fifth Beach,LOW,Algae,Cryptosiphonia.woodii,2.18125,13,123.5,0.02,0.71
Fifth Beach,LOW,Algae,Hedophyllum.sessile,2.0625,14,123.5,0.02,0.72
Fifth Beach,LOW,Algae,Corallina.vancouveriensis,1.925,15,123.5,0.02,0.74
Fifth Beach,LOW,Algae,Pyropia.perforata,1.925,16,123.5,0.02,0.75
Fifth Beach,LOW,Algae,Bossiella.frondifera,1.6625,17,123.5,0.01,0.77
Fifth Beach,LOW,Algae,Polyneura.latissima,1.425,18,123.5,0.01,0.78
Fifth Beach,LOW,Algae,Callithamnion.pikeanum,1.409375,19,123.5,0.01,0.79
Fifth Beach,LOW,Algae,Analipus.japonicus,1.275,20,123.5,0.01,0.8
Fifth Beach,LOW,Algae,Odonthalia.floccosa,1.26875,21,123.5,0.01,0.81
Fifth Beach,LOW,Algae,Ptilota.tenuis,1.26875,22,123.5,0.01,0.82
Fifth Beach,LOW,Algae,Mastocarpus.sp.,1.24375,23,123.5,0.01,0.83
Fifth Beach,LOW,Algae,Polysiphonia.hendryi.var..hendryi,1.1875,24,123.5,0.01,0.84
Fifth Beach,LOW,Algae,Dilsea.californica,1.16875,25,123.5,0.01,0.85
Fifth Beach,LOW,Algae,Petrocelis,1.16875,26,123.5,0.01,0.86
Fifth Beach,LOW,Algae,Osmundea.spectabilis,1.075,27,123.5,0.01,0.87
Fifth Beach,LOW,Algae,coralline.crust,1.06875,28,123.5,0.01,0.88
Fifth Beach,LOW,Algae,Endocladia.muricata,1.0125,29,123.5,0.01,0.89
Fifth Beach,LOW,Algae,Ptilota.sp.,0.9,30,123.5,0.01,0.89
Fifth Beach,LOW,Algae,Scytosiphon.lomentaria,0.83125,31,123.5,0.01,0.9
Fifth Beach,LOW,Algae,Pyropia.fucicola,0.6125,32,123.5,0,0.9
Fifth Beach,LOW,Algae,Neogastroclonium.subarticulatum,0.6,33,123.5,0,0.91
Fifth Beach,LOW,Algae,Lomentaria.hakodatensis,0.5125,34,123.5,0,0.91
Fifth Beach,LOW,Algae,Polysiphonia.sp.,0.5,35,123.5,0,0.92
Fifth Beach,LOW,Algae,Tokidadendron.bullatum,0.4375,36,123.5,0,0.92
Fifth Beach,LOW,Algae,Bossiella.frondescens,0.3375,37,123.5,0,0.92
Fifth Beach,LOW,Algae,Hymenena.setchellii,0.2875,38,123.5,0,0.93
