taxon,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,total
Hildenbrandia,79,65,80,69,76,75,81,77,602
Fucus.distichus,64,53,67,57,52,45,63,54,455
Pyropia,47,57,61,47,37,57,53,68,427
Mastocarpus,60,57,59,65,41,39,55,46,422
Petrocelis,40,49,63,52,61,62,27,27,381
Barnacles,53,27,45,35,49,43,63,57,372
Corallina,45,51,47,45,50,45,42,45,370
Endocladia.muricata,47,37,47,44,45,44,46,46,356
Chamberlainium.tumidum,43,42,49,39,39,45,47,43,347
Ulva,48,47,51,53,36,32,39,39,345
Halosaccion.glandiforme,44,40,52,29,28,26,38,47,304
Bossiella_articulate,25,35,29,41,42,42,43,35,292
Alaria.marginata,41,44,35,30,11,23,25,32,241
Acrosiphonia,28,41,41,21,13,30,30,36,240
Anemone,36,9,32,20,31,32,36,41,237
Plocamium.violaceum,24,27,21,29,37,31,25,15,209
Mazzaella.oregona,43,23,32,23,22,30,18,11,202
Microcladia.borealis,17,18,31,27,19,23,24,17,176
Callithamnion.pikeanum,24,22,13,21,25,26,24,19,174
Cryptosiphonia.woodii,20,14,31,21,14,22,28,21,171
Gloiopeltis.furcata,21,26,22,19,26,11,20,19,164
coralline.crust,29,19,13,31,13,16,29,6,156
Leathesia.marina,15,9,32,25,10,20,29,14,154
Hymenena,16,19,17,16,19,16,19,14,136
Phyllospadix.sp.,10,17,14,16,15,18,20,16,126
Polyneura.latissima,15,21,13,14,21,14,12,11,121
Mazzaella.splendens,18,13,16,13,19,11,13,17,120
Neorhodomela.larix,19,11,15,13,15,16,16,14,119
Ptilota,17,17,13,18,14,17,12,6,114
Savoiea.robusta,8,15,13,9,16,19,21,13,114
Mytilus.sp.,13,3,4,8,18,24,24,17,111
Odonthalia.floccosa,18,17,10,11,10,13,13,13,105
Elachista.fucicola,23,33,17,11,2,3,13,1,103
Cladophora.columbiana,9,10,6,11,20,10,15,11,92
Ralfsioid,7,8,4,33,11,7,15,7,92
Lithothamnion.phymatodeum,6,10,9,9,13,14,19,11,91
Polysiphonia,9,13,6,8,6,10,18,21,91
Hedophyllum.sessile,12,8,14,13,10,8,7,9,81
Ceramium.pacificum,5,8,5,9,15,6,16,5,69
Neopolyporolithon.reclinatum,7,12,8,5,7,9,9,9,66
Lithophyllum,0,0,13,6,12,13,10,11,65
Neogastroclonium.subarticulatum,6,11,6,7,10,8,9,6,63
Mazzaella.parvula,2,6,11,16,8,3,10,4,60
