taxon,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,total
Prionitis,9,11,3,4,10,10,7,5,59
Farlowia.mollis,1,16,3,5,10,10,10,3,58
Egregia.menziesii,5,11,8,8,10,6,3,5,56
Dilsea.californica,6,3,7,7,4,11,9,7,54
Palmaria.hecatensis,10,10,7,3,6,2,4,9,51
Codium.fragile,7,6,7,1,4,5,9,4,43
Tube.worms,9,2,0,2,5,3,11,9,41
Nemalion.helminthoides,9,2,2,9,5,2,11,0,40
Analipus.japonicus,5,5,10,5,4,1,7,2,39
Bossiella_crust,0,0,5,0,8,5,4,12,34
Bryozoan,16,6,1,5,1,0,1,4,34
Schizymenia.pacifica,0,1,7,7,4,6,2,7,34
Scytosiphon.lomentaria,2,5,1,1,0,7,14,4,34
Tunicata/Porifera,10,3,3,1,0,5,5,6,33
Codium.setchellii,5,4,3,3,4,3,4,4,30
Hedophyllum.nigripes,4,5,6,3,1,5,3,3,30
Costaria.costata,1,7,8,4,1,4,0,1,26
Ectocarpus.commensalis,0,0,0,6,2,2,7,9,26
Osmundea.spectabilis,2,6,3,3,5,3,4,0,26
Peyssonnelia.sp.,0,0,0,3,5,5,4,7,24
Palmaria.mollis,2,12,2,3,2,0,1,1,23
Blidingia,1,0,6,4,3,2,1,5,22
Scytosiphon.dotyi,1,6,1,3,1,2,5,3,22
Colpomenia.bullosa,0,0,0,2,0,11,4,4,21
Calliarthron.tuberculosum,0,9,0,4,1,2,1,3,20
Tokidadendron.bullatum,3,0,3,2,1,7,3,1,20
Unknown.crust,4,2,0,0,2,4,0,5,17
Salishia.firma,1,4,3,2,4,0,0,0,14
Ahnfeltia.fastigiata,1,5,0,0,3,1,0,2,12
Chiharaea.silvae,0,4,0,0,1,5,0,2,12
Crusticorallina.muricata,0,0,0,0,3,1,0,8,12
Cumathamnion.decipiens,1,4,0,1,0,3,2,1,12
Lomentaria.hakodatensis,2,3,1,1,2,0,0,3,12
Mazzaella.parksii,2,7,1,0,0,0,0,2,12
Melanosiphon.intestinalis,0,4,0,0,0,1,6,1,12
Pollicipes.polymerus,2,0,1,1,0,1,3,4,12
Colpomenia.peregrina,0,0,0,3,0,0,4,4,11
Desmarestia.ligulata,0,0,2,2,3,2,1,1,11
Laminaria.setchellii,0,1,1,2,3,2,0,2,11
Pseudolithophyllum.muricatum,0,0,9,1,0,0,0,0,10
Antithamnionella.pacifica,2,2,3,0,0,2,0,0,9
Chiharaea.rhododactyla,0,0,4,1,0,4,0,0,9
Colonial.Diatoms,0,0,0,2,3,2,0,2,9
Melobesia.sp.,0,0,0,2,4,1,0,2,9
Smithora.naiadum,0,2,0,0,0,4,2,1,9
Antithamnion.defectum,1,2,0,1,2,2,0,0,8
Erythrotrichia.carnea,0,0,0,2,0,4,1,0,7
Johansenia.macmillanii,0,0,0,1,1,3,1,1,7
Nereocystis.luetkeana,0,0,0,1,2,1,2,1,7
Pylaiella.littoralis,0,5,1,0,0,0,1,0,7
Collinsiella.tuberculata,0,0,0,0,0,0,1,5,6
Hydroid,3,1,0,0,0,0,1,1,6
Neorhodomela.oregona,3,0,0,2,0,1,0,0,6
Rhodochorton.purpureum,2,1,3,0,0,0,0,0,6
Bangia.sp.,1,0,0,1,0,0,3,0,5
Cladophora.sericea,1,3,1,0,0,0,0,0,5
Laminaria.yezoensis,1,0,1,2,0,1,0,0,5
Rhizoclonium.tortuosum,1,2,1,0,0,0,1,0,5
Desmarestia.aculeata,1,3,0,0,0,0,0,0,4
Herposiphonia.plumula,0,0,2,0,1,0,0,1,4
Lithothamnion.glaciale,0,0,0,0,0,0,4,0,4
Opuntiella.californica,0,4,0,0,0,0,0,0,4
Pleonosporium.vancouverianum,0,3,0,0,1,0,0,0,4
Soranthera.ulvoidea,1,2,1,0,0,0,0,0,4
Sphacelaria.rigidula,0,2,0,1,0,0,1,0,4
Callophyllis.sp.,0,0,0,0,1,2,0,0,3
Chaetomorpha.cannabina,0,0,0,0,2,0,1,0,3
Flustralidra,1,0,0,0,0,0,0,2,3
Halichondria,2,0,0,0,1,0,0,0,3
Jingle,0,0,0,0,0,0,0,3,3
Monostroma.grevillei,0,3,0,0,0,0,0,0,3
Neorhodomela.aculeata,0,0,1,0,0,2,0,0,3
Odonthalia.floccosa.f..comosa,0,0,0,0,0,1,1,1,3
Plocamium.pacificum,0,0,1,1,0,0,1,0,3
Pterocladiella.caloglossoides,0,0,1,0,1,0,1,0,3
Styela.sp.,0,1,0,2,0,0,0,0,3
Acrochaetium.sp.,0,1,0,1,0,0,0,0,2
Ceramium.codicola,2,0,0,0,0,0,0,0,2
Ectocarpus.sp.,0,0,2,0,0,0,0,0,2
Mesophyllum.vancouveriense,0,0,0,0,0,1,1,0,2
Pterygophora.californica,0,0,0,0,1,1,0,0,2
Symphyocladiella.dendroidea,0,0,0,0,2,0,0,0,2
articulated.coralline,0,0,0,0,0,0,0,1,1
Chiharaea.bodegensis,0,0,0,1,0,0,0,0,1
Dactylosiphon.bullosus,0,0,0,0,0,0,0,1,1
Desmarestia.herbacea,0,0,0,0,0,0,0,1,1
Ectocarpus.siliculosus,0,0,0,0,0,0,1,0,1
Fauchea.sp.,0,0,0,0,1,0,0,0,1
Haliclona,1,0,0,0,0,0,0,0,1
Kornmannia.leptoderma,0,1,0,0,0,0,0,0,1
Petalonia.fascia,0,0,0,0,0,0,0,1,1
Phycodrys.sp.,0,0,0,0,0,1,0,0,1
Pododesmus.sp.,0,0,0,0,1,0,0,0,1
Pugetia.firma,1,0,0,0,0,0,0,0,1
Rhodymenia.sp.,0,0,0,1,0,0,0,0,1
Riterella.pulchra,0,0,0,1,0,0,0,0,1
Tiffaniella.snyderae,0,0,0,0,1,0,0,0,1
Ulothrix-Urospora.sp.,0,1,0,0,0,0,0,0,1
Unknown.red.blade,0,0,0,0,0,0,0,1,1
