"LA BAIE DEPARTURE (LA STATION BIOLOGIQUE DU PACIFIQUE):
TOUS LES JOURS LA TEMPÉRATURE ET SALINITÉ DE SURFACE DE LA MER",,,,
"DATE
(AAAA-MM-JJ)","DEGRÉ DE SALINITÉ  
(USP)","TEMPÉRATURE 
( C )","LATITUDE
(DEGRÉS DÉCIMAUX)","LONGITUDE
(DEGRÉS DÉCIMAUX)"
1/1/1914,27.7,7.2,49.2103,-123.9554
1/2/1914,99.9,99.9,49.2103,-123.9554
1/3/1914,99.9,99.9,49.2103,-123.9554
1/4/1914,99.9,99.9,49.2103,-123.9554
1/5/1914,99.9,99.9,49.2103,-123.9554
1/6/1914,99.9,99.9,49.2103,-123.9554
1/7/1914,99.9,99.9,49.2103,-123.9554
1/8/1914,99.9,99.9,49.2103,-123.9554
1/9/1914,99.9,99.9,49.2103,-123.9554
1/10/1914,99.9,99.9,49.2103,-123.9554
1/11/1914,99.9,99.9,49.2103,-123.9554
1/12/1914,99.9,99.9,49.2103,-123.9554
1/13/1914,99.9,99.9,49.2103,-123.9554
1/14/1914,99.9,99.9,49.2103,-123.9554
1/15/1914,99.9,99.9,49.2103,-123.9554
1/16/1914,99.9,99.9,49.2103,-123.9554
1/17/1914,99.9,99.9,49.2103,-123.9554
1/18/1914,99.9,99.9,49.2103,-123.9554
1/19/1914,99.9,99.9,49.2103,-123.9554
1/20/1914,99.9,99.9,49.2103,-123.9554
1/21/1914,99.9,99.9,49.2103,-123.9554
1/22/1914,99.9,99.9,49.2103,-123.9554
1/23/1914,99.9,99.9,49.2103,-123.9554
1/24/1914,99.9,99.9,49.2103,-123.9554
1/25/1914,99.9,99.9,49.2103,-123.9554
1/26/1914,99.9,99.9,49.2103,-123.9554
1/27/1914,99.9,99.9,49.2103,-123.9554
1/28/1914,99.9,99.9,49.2103,-123.9554
1/29/1914,99.9,99.9,49.2103,-123.9554
1/30/1914,99.9,99.9,49.2103,-123.9554
1/31/1914,99.9,99.9,49.2103,-123.9554
2/1/1914,99.9,99.9,49.2103,-123.9554
2/2/1914,99.9,99.9,49.2103,-123.9554
2/3/1914,99.9,99.9,49.2103,-123.9554
2/4/1914,99.9,99.9,49.2103,-123.9554
2/5/1914,99.9,99.9,49.2103,-123.9554
2/6/1914,99.9,99.9,49.2103,-123.9554
2/7/1914,99.9,99.9,49.2103,-123.9554
2/8/1914,99.9,99.9,49.2103,-123.9554
2/9/1914,99.9,99.9,49.2103,-123.9554
2/10/1914,99.9,99.9,49.2103,-123.9554
2/11/1914,99.9,99.9,49.2103,-123.9554
2/12/1914,99.9,99.9,49.2103,-123.9554
2/13/1914,99.9,99.9,49.2103,-123.9554
2/14/1914,99.9,99.9,49.2103,-123.9554
2/15/1914,99.9,99.9,49.2103,-123.9554
2/16/1914,99.9,99.9,49.2103,-123.9554
2/17/1914,99.9,99.9,49.2103,-123.9554
2/18/1914,99.9,99.9,49.2103,-123.9554
2/19/1914,99.9,99.9,49.2103,-123.9554
2/20/1914,99.9,99.9,49.2103,-123.9554
2/21/1914,99.9,99.9,49.2103,-123.9554
2/22/1914,99.9,99.9,49.2103,-123.9554
2/23/1914,99.9,99.9,49.2103,-123.9554
2/24/1914,99.9,99.9,49.2103,-123.9554
2/25/1914,99.9,99.9,49.2103,-123.9554
2/26/1914,99.9,99.9,49.2103,-123.9554
2/27/1914,99.9,99.9,49.2103,-123.9554
2/28/1914,99.9,99.9,49.2103,-123.9554
3/1/1914,99.9,99.9,49.2103,-123.9554
3/2/1914,99.9,99.9,49.2103,-123.9554
3/3/1914,99.9,99.9,49.2103,-123.9554
3/4/1914,99.9,99.9,49.2103,-123.9554
3/5/1914,99.9,99.9,49.2103,-123.9554
3/6/1914,99.9,99.9,49.2103,-123.9554
3/7/1914,99.9,99.9,49.2103,-123.9554
3/8/1914,99.9,99.9,49.2103,-123.9554
3/9/1914,99.9,99.9,49.2103,-123.9554
3/10/1914,99.9,99.9,49.2103,-123.9554
3/11/1914,99.9,99.9,49.2103,-123.9554
3/12/1914,99.9,99.9,49.2103,-123.9554
3/13/1914,99.9,99.9,49.2103,-123.9554
3/14/1914,99.9,99.9,49.2103,-123.9554
3/15/1914,99.9,99.9,49.2103,-123.9554
3/16/1914,99.9,99.9,49.2103,-123.9554
3/17/1914,99.9,99.9,49.2103,-123.9554
3/18/1914,99.9,99.9,49.2103,-123.9554
3/19/1914,99.9,99.9,49.2103,-123.9554
3/20/1914,99.9,99.9,49.2103,-123.9554
3/21/1914,99.9,99.9,49.2103,-123.9554
3/22/1914,99.9,99.9,49.2103,-123.9554
3/23/1914,99.9,99.9,49.2103,-123.9554
3/24/1914,99.9,99.9,49.2103,-123.9554
3/25/1914,99.9,99.9,49.2103,-123.9554
3/26/1914,99.9,99.9,49.2103,-123.9554
3/27/1914,99.9,99.9,49.2103,-123.9554
3/28/1914,99.9,99.9,49.2103,-123.9554
3/29/1914,99.9,99.9,49.2103,-123.9554
3/30/1914,99.9,99.9,49.2103,-123.9554
3/31/1914,99.9,99.9,49.2103,-123.9554
4/1/1914,99.9,99.9,49.2103,-123.9554
4/2/1914,99.9,99.9,49.2103,-123.9554
4/3/1914,99.9,99.9,49.2103,-123.9554
4/4/1914,99.9,99.9,49.2103,-123.9554
4/5/1914,99.9,99.9,49.2103,-123.9554
4/6/1914,99.9,99.9,49.2103,-123.9554
4/7/1914,99.9,99.9,49.2103,-123.9554
4/8/1914,99.9,99.9,49.2103,-123.9554
4/9/1914,99.9,99.9,49.2103,-123.9554
4/10/1914,99.9,99.9,49.2103,-123.9554
4/11/1914,99.9,99.9,49.2103,-123.9554
4/12/1914,99.9,99.9,49.2103,-123.9554
4/13/1914,99.9,99.9,49.2103,-123.9554
4/14/1914,99.9,99.9,49.2103,-123.9554
4/15/1914,99.9,99.9,49.2103,-123.9554
4/16/1914,99.9,99.9,49.2103,-123.9554
4/17/1914,99.9,99.9,49.2103,-123.9554
4/18/1914,99.9,99.9,49.2103,-123.9554
4/19/1914,99.9,99.9,49.2103,-123.9554
4/20/1914,99.9,99.9,49.2103,-123.9554
4/21/1914,99.9,99.9,49.2103,-123.9554
4/22/1914,99.9,99.9,49.2103,-123.9554
4/23/1914,99.9,99.9,49.2103,-123.9554
4/24/1914,99.9,99.9,49.2103,-123.9554
4/25/1914,99.9,99.9,49.2103,-123.9554
4/26/1914,99.9,99.9,49.2103,-123.9554
4/27/1914,99.9,99.9,49.2103,-123.9554
4/28/1914,99.9,99.9,49.2103,-123.9554
4/29/1914,99.9,99.9,49.2103,-123.9554
4/30/1914,99.9,99.9,49.2103,-123.9554
5/1/1914,99.9,99.9,49.2103,-123.9554
5/2/1914,99.9,99.9,49.2103,-123.9554
5/3/1914,99.9,99.9,49.2103,-123.9554
5/4/1914,99.9,99.9,49.2103,-123.9554
5/5/1914,99.9,99.9,49.2103,-123.9554
5/6/1914,99.9,99.9,49.2103,-123.9554
5/7/1914,99.9,99.9,49.2103,-123.9554
5/8/1914,99.9,99.9,49.2103,-123.9554
5/9/1914,99.9,99.9,49.2103,-123.9554
5/10/1914,99.9,99.9,49.2103,-123.9554
5/11/1914,99.9,99.9,49.2103,-123.9554
5/12/1914,99.9,99.9,49.2103,-123.9554
5/13/1914,99.9,99.9,49.2103,-123.9554
5/14/1914,99.9,99.9,49.2103,-123.9554
5/15/1914,99.9,99.9,49.2103,-123.9554
5/16/1914,99.9,99.9,49.2103,-123.9554
5/17/1914,99.9,99.9,49.2103,-123.9554
5/18/1914,99.9,99.9,49.2103,-123.9554
5/19/1914,99.9,99.9,49.2103,-123.9554
5/20/1914,99.9,99.9,49.2103,-123.9554
5/21/1914,99.9,99.9,49.2103,-123.9554
5/22/1914,99.9,99.9,49.2103,-123.9554
5/23/1914,99.9,99.9,49.2103,-123.9554
5/24/1914,99.9,99.9,49.2103,-123.9554
5/25/1914,99.9,99.9,49.2103,-123.9554
5/26/1914,99.9,99.9,49.2103,-123.9554
5/27/1914,99.9,99.9,49.2103,-123.9554
5/28/1914,99.9,99.9,49.2103,-123.9554
5/29/1914,99.9,99.9,49.2103,-123.9554
5/30/1914,99.9,99.9,49.2103,-123.9554
5/31/1914,99.9,99.9,49.2103,-123.9554
6/1/1914,99.9,99.9,49.2103,-123.9554
6/2/1914,99.9,99.9,49.2103,-123.9554
6/3/1914,99.9,99.9,49.2103,-123.9554
6/4/1914,99.9,99.9,49.2103,-123.9554
6/5/1914,99.9,99.9,49.2103,-123.9554
6/6/1914,99.9,99.9,49.2103,-123.9554
6/7/1914,99.9,99.9,49.2103,-123.9554
6/8/1914,99.9,99.9,49.2103,-123.9554
6/9/1914,99.9,99.9,49.2103,-123.9554
6/10/1914,99.9,99.9,49.2103,-123.9554
6/11/1914,99.9,99.9,49.2103,-123.9554
6/12/1914,99.9,99.9,49.2103,-123.9554
6/13/1914,99.9,99.9,49.2103,-123.9554
6/14/1914,99.9,99.9,49.2103,-123.9554
6/15/1914,99.9,99.9,49.2103,-123.9554
6/16/1914,99.9,99.9,49.2103,-123.9554
6/17/1914,99.9,99.9,49.2103,-123.9554
6/18/1914,99.9,99.9,49.2103,-123.9554
6/19/1914,99.9,99.9,49.2103,-123.9554
6/20/1914,99.9,99.9,49.2103,-123.9554
6/21/1914,99.9,99.9,49.2103,-123.9554
6/22/1914,99.9,99.9,49.2103,-123.9554
6/23/1914,99.9,99.9,49.2103,-123.9554
6/24/1914,99.9,99.9,49.2103,-123.9554
6/25/1914,99.9,99.9,49.2103,-123.9554
6/26/1914,99.9,99.9,49.2103,-123.9554
6/27/1914,99.9,99.9,49.2103,-123.9554
6/28/1914,99.9,99.9,49.2103,-123.9554
6/29/1914,99.9,99.9,49.2103,-123.9554
6/30/1914,99.9,99.9,49.2103,-123.9554
7/1/1914,99.9,99.9,49.2103,-123.9554
7/2/1914,99.9,99.9,49.2103,-123.9554
7/3/1914,99.9,99.9,49.2103,-123.9554
7/4/1914,99.9,99.9,49.2103,-123.9554
7/5/1914,99.9,99.9,49.2103,-123.9554
7/6/1914,99.9,99.9,49.2103,-123.9554
7/7/1914,99.9,99.9,49.2103,-123.9554
7/8/1914,99.9,99.9,49.2103,-123.9554
7/9/1914,99.9,99.9,49.2103,-123.9554
7/10/1914,99.9,99.9,49.2103,-123.9554
7/11/1914,99.9,99.9,49.2103,-123.9554
7/12/1914,99.9,99.9,49.2103,-123.9554
7/13/1914,99.9,99.9,49.2103,-123.9554
7/14/1914,99.9,99.9,49.2103,-123.9554
7/15/1914,99.9,99.9,49.2103,-123.9554
7/16/1914,99.9,99.9,49.2103,-123.9554
7/17/1914,99.9,99.9,49.2103,-123.9554
7/18/1914,99.9,99.9,49.2103,-123.9554
7/19/1914,99.9,99.9,49.2103,-123.9554
7/20/1914,99.9,99.9,49.2103,-123.9554
7/21/1914,99.9,99.9,49.2103,-123.9554
7/22/1914,99.9,99.9,49.2103,-123.9554
7/23/1914,99.9,99.9,49.2103,-123.9554
7/24/1914,99.9,99.9,49.2103,-123.9554
7/25/1914,99.9,99.9,49.2103,-123.9554
7/26/1914,99.9,99.9,49.2103,-123.9554
7/27/1914,99.9,99.9,49.2103,-123.9554
7/28/1914,99.9,99.9,49.2103,-123.9554
7/29/1914,99.9,99.9,49.2103,-123.9554
7/30/1914,99.9,99.9,49.2103,-123.9554
7/31/1914,99.9,99.9,49.2103,-123.9554
8/1/1914,99.9,99.9,49.2103,-123.9554
8/2/1914,99.9,99.9,49.2103,-123.9554
8/3/1914,99.9,99.9,49.2103,-123.9554
8/4/1914,99.9,99.9,49.2103,-123.9554
8/5/1914,99.9,99.9,49.2103,-123.9554
8/6/1914,99.9,99.9,49.2103,-123.9554
8/7/1914,99.9,99.9,49.2103,-123.9554
8/8/1914,99.9,99.9,49.2103,-123.9554
8/9/1914,99.9,99.9,49.2103,-123.9554
8/10/1914,99.9,99.9,49.2103,-123.9554
8/11/1914,99.9,99.9,49.2103,-123.9554
8/12/1914,99.9,99.9,49.2103,-123.9554
8/13/1914,99.9,99.9,49.2103,-123.9554
8/14/1914,99.9,99.9,49.2103,-123.9554
8/15/1914,99.9,99.9,49.2103,-123.9554
8/16/1914,99.9,99.9,49.2103,-123.9554
8/17/1914,99.9,99.9,49.2103,-123.9554
8/18/1914,99.9,99.9,49.2103,-123.9554
8/19/1914,99.9,99.9,49.2103,-123.9554
8/20/1914,99.9,99.9,49.2103,-123.9554
8/21/1914,99.9,99.9,49.2103,-123.9554
8/22/1914,99.9,99.9,49.2103,-123.9554
8/23/1914,99.9,99.9,49.2103,-123.9554
8/24/1914,99.9,99.9,49.2103,-123.9554
8/25/1914,99.9,99.9,49.2103,-123.9554
8/26/1914,99.9,99.9,49.2103,-123.9554
8/27/1914,99.9,99.9,49.2103,-123.9554
8/28/1914,99.9,99.9,49.2103,-123.9554
8/29/1914,99.9,99.9,49.2103,-123.9554
8/30/1914,99.9,99.9,49.2103,-123.9554
8/31/1914,99.9,99.9,49.2103,-123.9554
9/1/1914,99.9,99.9,49.2103,-123.9554
9/2/1914,99.9,99.9,49.2103,-123.9554
9/3/1914,99.9,99.9,49.2103,-123.9554
9/4/1914,99.9,99.9,49.2103,-123.9554
9/5/1914,99.9,99.9,49.2103,-123.9554
9/6/1914,99.9,99.9,49.2103,-123.9554
9/7/1914,99.9,99.9,49.2103,-123.9554
9/8/1914,99.9,99.9,49.2103,-123.9554
9/9/1914,99.9,99.9,49.2103,-123.9554
9/10/1914,99.9,99.9,49.2103,-123.9554
9/11/1914,99.9,99.9,49.2103,-123.9554
9/12/1914,27.4,13.2,49.2103,-123.9554
9/13/1914,24.3,14.1,49.2103,-123.9554
9/14/1914,24.2,13.9,49.2103,-123.9554
9/15/1914,24.8,13.2,49.2103,-123.9554
9/16/1914,25.4,12.8,49.2103,-123.9554
9/17/1914,25,12.5,49.2103,-123.9554
9/18/1914,25.8,12.7,49.2103,-123.9554
9/19/1914,26.8,11.7,49.2103,-123.9554
9/20/1914,27.3,11.2,49.2103,-123.9554
9/21/1914,27.2,11.1,49.2103,-123.9554
9/22/1914,27.1,11.9,49.2103,-123.9554
9/23/1914,24,12.8,49.2103,-123.9554
9/24/1914,24.6,13.5,49.2103,-123.9554
9/25/1914,25.5,13.4,49.2103,-123.9554
9/26/1914,26.2,13.5,49.2103,-123.9554
9/27/1914,25.9,12.6,49.2103,-123.9554
9/28/1914,27.1,11.8,49.2103,-123.9554
9/29/1914,27.3,11.7,49.2103,-123.9554
9/30/1914,26.5,11.7,49.2103,-123.9554
10/1/1914,25.8,11.8,49.2103,-123.9554
10/2/1914,25.7,11.5,49.2103,-123.9554
10/3/1914,27.2,11.1,49.2103,-123.9554
10/4/1914,26.9,11.6,49.2103,-123.9554
10/5/1914,26.4,11.8,49.2103,-123.9554
10/6/1914,27,11.7,49.2103,-123.9554
10/7/1914,26.8,12.3,49.2103,-123.9554
10/8/1914,27.1,12.3,49.2103,-123.9554
10/9/1914,27.3,12.7,49.2103,-123.9554
10/10/1914,27,12.2,49.2103,-123.9554
10/11/1914,27.7,11.6,49.2103,-123.9554
10/12/1914,28.4,11.4,49.2103,-123.9554
10/13/1914,24.1,10.8,49.2103,-123.9554
10/14/1914,13.5,10.9,49.2103,-123.9554
10/15/1914,12.6,11.6,49.2103,-123.9554
10/16/1914,19.2,11.2,49.2103,-123.9554
10/17/1914,25.1,10.5,49.2103,-123.9554
10/18/1914,18.5,10.4,49.2103,-123.9554
10/19/1914,15.7,10,49.2103,-123.9554
10/20/1914,24.1,10,49.2103,-123.9554
10/21/1914,11.4,10.2,49.2103,-123.9554
10/22/1914,18.7,10.3,49.2103,-123.9554
10/23/1914,21.3,10.8,49.2103,-123.9554
10/24/1914,21.5,10.5,49.2103,-123.9554
10/25/1914,17.7,10.3,49.2103,-123.9554
10/26/1914,16.9,10.7,49.2103,-123.9554
10/27/1914,20,11,49.2103,-123.9554
10/28/1914,23.6,10.9,49.2103,-123.9554
10/29/1914,24,10.8,49.2103,-123.9554
10/30/1914,24.3,11.1,49.2103,-123.9554
10/31/1914,24,10.9,49.2103,-123.9554
11/1/1914,21.5,10.6,49.2103,-123.9554
11/2/1914,16.4,10.5,49.2103,-123.9554
11/3/1914,15,10.4,49.2103,-123.9554
11/4/1914,26.6,10,49.2103,-123.9554
11/5/1914,26.5,9.9,49.2103,-123.9554
11/6/1914,11.8,9.7,49.2103,-123.9554
11/7/1914,20.7,8.7,49.2103,-123.9554
11/8/1914,19.7,9.3,49.2103,-123.9554
11/9/1914,24.9,9.7,49.2103,-123.9554
11/10/1914,16.2,9.2,49.2103,-123.9554
11/11/1914,5.1,9.8,49.2103,-123.9554
11/12/1914,6.8,9.1,49.2103,-123.9554
11/13/1914,23.2,8.3,49.2103,-123.9554
11/14/1914,23.4,8.5,49.2103,-123.9554
11/15/1914,21.5,7.4,49.2103,-123.9554
11/16/1914,22.9,8.3,49.2103,-123.9554
11/17/1914,23.3,9,49.2103,-123.9554
11/18/1914,22.1,8.2,49.2103,-123.9554
11/19/1914,22.9,8.3,49.2103,-123.9554
11/20/1914,16.2,8.9,49.2103,-123.9554
11/21/1914,8.7,9.2,49.2103,-123.9554
11/22/1914,17.3,9.4,49.2103,-123.9554
11/23/1914,22.9,8.8,49.2103,-123.9554
11/24/1914,20.3,8.9,49.2103,-123.9554
11/25/1914,17.7,8.9,49.2103,-123.9554
11/26/1914,18,9.1,49.2103,-123.9554
11/27/1914,14.2,8.8,49.2103,-123.9554
11/28/1914,26.6,8.8,49.2103,-123.9554
11/29/1914,20.3,8.6,49.2103,-123.9554
11/30/1914,22.4,7.3,49.2103,-123.9554
12/1/1914,19.7,7.4,49.2103,-123.9554
12/2/1914,22.7,8.7,49.2103,-123.9554
12/3/1914,21.8,7.6,49.2103,-123.9554
12/4/1914,26.1,8.6,49.2103,-123.9554
12/5/1914,24.6,7.7,49.2103,-123.9554
12/6/1914,24.3,7.5,49.2103,-123.9554
12/7/1914,22.7,7.8,49.2103,-123.9554
12/8/1914,23.3,6.8,49.2103,-123.9554
12/9/1914,25.5,7.9,49.2103,-123.9554
12/10/1914,25.9,7,49.2103,-123.9554
12/11/1914,25.4,6.3,49.2103,-123.9554
12/12/1914,26.2,7.4,49.2103,-123.9554
12/13/1914,26.2,7.1,49.2103,-123.9554
12/14/1914,26.4,7.2,49.2103,-123.9554
12/15/1914,26.5,7.4,49.2103,-123.9554
12/16/1914,26.6,7.7,49.2103,-123.9554
12/17/1914,27.1,6.3,49.2103,-123.9554
12/18/1914,26.5,6.4,49.2103,-123.9554
12/19/1914,26.5,6.7,49.2103,-123.9554
12/20/1914,26.5,6.6,49.2103,-123.9554
12/21/1914,26.7,6.6,49.2103,-123.9554
12/22/1914,26.3,6.4,49.2103,-123.9554
12/23/1914,26.4,7.1,49.2103,-123.9554
12/24/1914,26.5,7.3,49.2103,-123.9554
12/25/1914,26.8,7.1,49.2103,-123.9554
12/26/1914,26.8,7.2,49.2103,-123.9554
12/27/1914,23.5,6.9,49.2103,-123.9554
12/28/1914,26.8,7.1,49.2103,-123.9554
12/29/1914,25.1,6.6,49.2103,-123.9554
12/30/1914,26.2,6.7,49.2103,-123.9554
12/31/1914,26.8,7.1,49.2103,-123.9554
1/1/1915,25.7,7.9,49.2103,-123.9554
1/2/1915,27,8.1,49.2103,-123.9554
1/3/1915,27.1,8.7,49.2103,-123.9554
1/4/1915,25.6,7.3,49.2103,-123.9554
1/5/1915,24,6.5,49.2103,-123.9554
1/6/1915,22.6,6.3,49.2103,-123.9554
1/7/1915,24.2,6.8,49.2103,-123.9554
1/8/1915,23.3,7.4,49.2103,-123.9554
1/9/1915,26.9,7.8,49.2103,-123.9554
1/10/1915,26.4,7.1,49.2103,-123.9554
1/11/1915,15.3,7.2,49.2103,-123.9554
1/12/1915,26.1,8.2,49.2103,-123.9554
1/13/1915,19.5,7.6,49.2103,-123.9554
1/14/1915,24,7.8,49.2103,-123.9554
1/15/1915,26.6,7.3,49.2103,-123.9554
1/16/1915,26.2,7.2,49.2103,-123.9554
1/17/1915,17.9,7.1,49.2103,-123.9554
1/18/1915,25.3,7.2,49.2103,-123.9554
1/19/1915,26.5,6.6,49.2103,-123.9554
1/20/1915,26.5,6.7,49.2103,-123.9554
1/21/1915,26.4,5.7,49.2103,-123.9554
1/22/1915,26.4,6.3,49.2103,-123.9554
1/23/1915,26.5,6.7,49.2103,-123.9554
1/24/1915,26.3,5.6,49.2103,-123.9554
1/25/1915,26.5,6.9,49.2103,-123.9554
1/26/1915,26.4,6.2,49.2103,-123.9554
1/27/1915,26.5,6.9,49.2103,-123.9554
1/28/1915,26.5,6.7,49.2103,-123.9554
1/29/1915,26.5,6.9,49.2103,-123.9554
1/30/1915,26.5,6.7,49.2103,-123.9554
1/31/1915,26.5,6.9,49.2103,-123.9554
2/1/1915,26.5,6.9,49.2103,-123.9554
