"Date","Quadrat","Meter.point","Sampler","Recorder","Bedrock","Boulder","Cobble","Sand/Gravel/Pebble","Water","SiteHeightYear","SUBSTRATE-ROCK","SUBSTRATE-SAND","WATER","Pebble","SAND SCOUR","SUBSTRATE-Clam shell","Site","Zone","Year","UID","Shore_height_cm","Lat","Long"
2011-08-12,"1",3,"Patrick","Katrina",NA,"0","25",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 1",88,51.6512737747115,-128.143520494771
2011-08-12,"2",7,"Sandra","Noriko",NA,"100","0",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 2",68,51.6512525801477,-128.143567200326
2011-08-12,"3",13,"Sandra","Noriko",NA,"100","0",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 3",75,51.6512207837661,-128.143637257938
2011-08-12,"4",14,"Patrick","Katrina",NA,"0","0",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 4",75,51.6512154828701,-128.143648934707
2011-08-12,"5",19,"Sandra","Noriko",NA,"50","50",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 5",101,51.6511889873421,-128.143707315452
2011-08-12,"6",21,"Patrick","Katrina",NA,"0","0",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 6",112,51.6511783855348,-128.143730668956
2011-08-12,"7",27,"Patrick","Katrina",NA,"0","5",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 7",131,51.6511465890543,-128.14380072634
2011-08-12,"8",29,"Sandra","Noriko",NA,"65","35",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 8",90,51.6511359872282,-128.143824079799
2011-08-12,"9",30,"Sandra","Noriko",NA,"65","35",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 9",105,51.6511306863028,-128.14383575508
2011-08-12,"10",32,"Patrick","Katrina",NA,"0","5",NA,NA,"Foggy Cove LOW 2011",NA,NA,NA,NA,NA,NA,"Foggy Cove","LOW","2011","Foggy Cove LOW 2011 10",126,51.6511200934602,-128.143859108353
