UID,Taxon,Abundance
Fifth Beach HIGH 2013 10,Pyropia abbottiae,2
Fifth Beach HIGH 2013 3,Pyropia abbottiae,1
Fifth Beach HIGH 2013 8,Pyropia abbottiae,2
Fifth Beach HIGH 2013 9,Pyropia abbottiae,1
Fifth Beach HIGH 2014 1,Pyropia abbottiae,1
Fifth Beach HIGH 2014 4,Pyropia abbottiae,1
Fifth Beach HIGH 2014 7,Pyropia abbottiae,0.5
Fifth Beach HIGH 2014 8,Pyropia abbottiae,6
Fifth Beach HIGH 2014 9,Pyropia abbottiae,14
Fifth Beach HIGH 2015 1,Pyropia abbottiae,7.5
Fifth Beach HIGH 2015 6,Pyropia abbottiae,0.5
Fifth Beach HIGH 2015 7,Pyropia abbottiae,4
Fifth Beach HIGH 2015 8,Pyropia abbottiae,3.5
Fifth Beach HIGH 2015 9,Pyropia abbottiae,7
Fifth Beach HIGH 2016 6,Pyropia abbottiae,0.5
Fifth Beach HIGH 2017 2,Pyropia abbottiae,1
Fifth Beach HIGH 2017 3,Pyropia abbottiae,1
Fifth Beach HIGH 2017 4,Pyropia abbottiae,1
Fifth Beach HIGH 2017 6,Pyropia abbottiae,2
Fifth Beach HIGH 2017 7,Pyropia abbottiae,2
Fifth Beach HIGH 2018 1,Pyropia abbottiae,0.5
Fifth Beach HIGH 2018 3,Pyropia abbottiae,1
Fifth Beach HIGH 2018 7,Pyropia abbottiae,2
Fifth Beach HIGH 2018 9,Pyropia abbottiae,2
Fifth Beach HIGH 2019 1,Pyropia abbottiae,0.5
Fifth Beach HIGH 2019 3,Pyropia abbottiae,7
Fifth Beach HIGH 2019 4,Pyropia abbottiae,3
Fifth Beach HIGH 2019 5,Pyropia abbottiae,0.5
Fifth Beach HIGH 2019 6,Pyropia abbottiae,5
Fifth Beach HIGH 2019 7,Pyropia abbottiae,27
Fifth Beach LOW 2014 3,Pyropia abbottiae,0.5
Fifth Beach LOW 2014 7,Pyropia abbottiae,3
Fifth Beach LOW 2014 8,Pyropia abbottiae,18
Fifth Beach LOW 2014 9,Pyropia abbottiae,3
Fifth Beach LOW 2015 9,Pyropia abbottiae,7
Fifth Beach LOW 2016 4,Pyropia abbottiae,0.5
Fifth Beach LOW 2016 7,Pyropia abbottiae,18
Fifth Beach LOW 2017 10,Pyropia abbottiae,1
Fifth Beach LOW 2017 2,Pyropia abbottiae,1
Fifth Beach LOW 2017 3,Pyropia abbottiae,2
Fifth Beach LOW 2017 4,Pyropia abbottiae,6
Fifth Beach LOW 2017 5,Pyropia abbottiae,9
Fifth Beach LOW 2017 6,Pyropia abbottiae,6
Fifth Beach LOW 2017 7,Pyropia abbottiae,26
Fifth Beach LOW 2017 8,Pyropia abbottiae,56
Fifth Beach LOW 2017 9,Pyropia abbottiae,57
Fifth Beach LOW 2018 10,Pyropia abbottiae,1
Fifth Beach LOW 2018 7,Pyropia abbottiae,10
Fifth Beach LOW 2018 9,Pyropia abbottiae,10
Fifth Beach LOW 2019 5,Pyropia abbottiae,7
Fifth Beach LOW 2019 6,Pyropia abbottiae,32
