"UID","Taxon","Abundance"
"Foggy Cove LOW 2011 1","Alaria","15"
"Foggy Cove LOW 2011 1","Bossiella","18"
"Foggy Cove LOW 2011 1","Coralline crust, unknown","4"
"Foggy Cove LOW 2011 1","Egregia menziesii","10"
"Foggy Cove LOW 2011 1","Hildenbrandia","14"
"Foggy Cove LOW 2011 1","Mastocarpus latissimus","5"
"Foggy Cove LOW 2011 1","Mazzaella oregona","8"
"Foggy Cove LOW 2011 1","Odonthalia floccosa","4"
"Foggy Cove LOW 2011 1","Palmaria hecatensis","8"
"Foggy Cove LOW 2011 1","Polyneura latissima","5"
"Foggy Cove LOW 2011 1","Pseudolithophyllum neofarlowii","4"
"Foggy Cove LOW 2011 1","Ptilota spp.","8"
"Foggy Cove LOW 2011 1","Saccharina latissimus","5"
"Foggy Cove LOW 2011 2","Bare Rock","5"
"Foggy Cove LOW 2011 2","Alaria","0.5"
"Foggy Cove LOW 2011 2","Bossiella","0.5"
"Foggy Cove LOW 2011 2","Corallina vancouveriensis","0.5"
"Foggy Cove LOW 2011 2","Cryptosiphonia woodii","0.5"
"Foggy Cove LOW 2011 2","Endocladia muricata","10"
"Foggy Cove LOW 2011 2","Fucus distichus subsp. evanescens","60"
"Foggy Cove LOW 2011 2","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2011 2","Hildenbrandia","4"
"Foggy Cove LOW 2011 2","Mastocarpus latissimus","30"
"Foggy Cove LOW 2011 2","Mastocarpus rigidus","3"
"Foggy Cove LOW 2011 2","Mazzaella oregona","1"
"Foggy Cove LOW 2011 2","Petrocelis","1"
"Foggy Cove LOW 2011 2","Phyllospadix","0.5"
"Foggy Cove LOW 2011 2","Plocamium violaceum","20"
"Foggy Cove LOW 2011 2","Pseudolithophyllum neofarlowii","10"
"Foggy Cove LOW 2011 2","Ulva lactuca","0.5"
"Foggy Cove LOW 2011 3","Bare Rock","0.5"
"Foggy Cove LOW 2011 3","Alaria","20"
"Foggy Cove LOW 2011 3","Bossiella","0.5"
"Foggy Cove LOW 2011 3","Corallina frondescens","4"
"Foggy Cove LOW 2011 3","Corallina vancouveriensis","2"
"Foggy Cove LOW 2011 3","Endocladia muricata","0.5"
"Foggy Cove LOW 2011 3","Fucus distichus subsp. evanescens","11"
"Foggy Cove LOW 2011 3","Halosaccion glandiforme","1"
"Foggy Cove LOW 2011 3","Leathesia marina","0.5"
"Foggy Cove LOW 2011 3","Mastocarpus latissimus","3"
"Foggy Cove LOW 2011 3","Mazzaella oregona","12"
"Foggy Cove LOW 2011 3","Mazzaella splendens","8"
"Foggy Cove LOW 2011 3","Microcladia borealis","5"
"Foggy Cove LOW 2011 3","Neogastroclonium subarticulatum","17"
"Foggy Cove LOW 2011 3","Odonthalia floccosa","2"
"Foggy Cove LOW 2011 3","Petrocelis","2"
"Foggy Cove LOW 2011 3","Plocamium violaceum","10"
"Foggy Cove LOW 2011 3","Polyneura latissima","1"
"Foggy Cove LOW 2011 3","Pseudolithophyllum neofarlowii","50"
"Foggy Cove LOW 2011 3","Ptilota spp.","1"
"Foggy Cove LOW 2011 3","Pylaiella littoralis","2"
"Foggy Cove LOW 2011 3","Ulva lactuca","1"
"Foggy Cove LOW 2011 4","Acrosiphonia","0.5"
"Foggy Cove LOW 2011 4","Alaria","4"
"Foggy Cove LOW 2011 4","Codium fragile","0.5"
"Foggy Cove LOW 2011 4","Corallina frondescens","2"
"Foggy Cove LOW 2011 4","Corallina vancouveriensis","8"
"Foggy Cove LOW 2011 4","Cryptosiphonia woodii","8"
"Foggy Cove LOW 2011 4","Endocladia muricata","6"
"Foggy Cove LOW 2011 4","Fucus distichus subsp. evanescens","25"
"Foggy Cove LOW 2011 4","Halosaccion glandiforme","8"
"Foggy Cove LOW 2011 4","Hildenbrandia","5"
"Foggy Cove LOW 2011 4","Mastocarpus latissimus","6"
"Foggy Cove LOW 2011 4","Mazzaella oregona","4"
"Foggy Cove LOW 2011 4","Neorhodomela larix","6"
"Foggy Cove LOW 2011 4","Odonthalia floccosa","3"
"Foggy Cove LOW 2011 4","Palmaria hecatensis","3"
"Foggy Cove LOW 2011 4","Petrocelis","4"
"Foggy Cove LOW 2011 4","Plocamium violaceum","20"
"Foggy Cove LOW 2011 4","Pseudolithophyllum neofarlowii","8"
"Foggy Cove LOW 2011 4","Ulva lactuca","5"
"Foggy Cove LOW 2011 5","Bare Rock","25"
"Foggy Cove LOW 2011 5","Acrosiphonia","0.5"
"Foggy Cove LOW 2011 5","Alaria","20"
"Foggy Cove LOW 2011 5","Bossiella","0.5"
"Foggy Cove LOW 2011 5","Corallina frondescens","10"
"Foggy Cove LOW 2011 5","Corallina vancouveriensis","0.5"
"Foggy Cove LOW 2011 5","Cryptosiphonia woodii","1"
"Foggy Cove LOW 2011 5","Fucus distichus subsp. evanescens","2"
"Foggy Cove LOW 2011 5","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2011 5","Hildenbrandia","2"
"Foggy Cove LOW 2011 5","Leathesia marina","0.5"
"Foggy Cove LOW 2011 5","Mastocarpus latissimus","2"
"Foggy Cove LOW 2011 5","Mazzaella oregona","0.5"
"Foggy Cove LOW 2011 5","Neogastroclonium subarticulatum","10"
"Foggy Cove LOW 2011 5","Neorhodomela larix","0.5"
"Foggy Cove LOW 2011 5","Palmaria hecatensis","1"
"Foggy Cove LOW 2011 5","Petrocelis","2"
"Foggy Cove LOW 2011 5","Polyneura latissima","4"
"Foggy Cove LOW 2011 5","Pseudolithophyllum neofarlowii","15"
"Foggy Cove LOW 2011 5","Ptilota spp.","4"
"Foggy Cove LOW 2011 5","Sphacelaria rigidula","0.5"
"Foggy Cove LOW 2011 5","Tokidadendron bullatum","0.5"
"Foggy Cove LOW 2011 5","Ulva lactuca","0.5"
"Foggy Cove LOW 2011 6","Acrosiphonia","8"
"Foggy Cove LOW 2011 6","Alaria","20"
"Foggy Cove LOW 2011 6","Callithamnion pikeanum","2"
"Foggy Cove LOW 2011 6","Corallina frondescens","3"
"Foggy Cove LOW 2011 6","Cryptosiphonia woodii","6"
"Foggy Cove LOW 2011 6","Fucus distichus subsp. evanescens","4"
"Foggy Cove LOW 2011 6","Halosaccion glandiforme","2"
"Foggy Cove LOW 2011 6","Mastocarpus latissimus","5"
"Foggy Cove LOW 2011 6","Mazzaella oregona","12"
"Foggy Cove LOW 2011 6","Odonthalia floccosa","2"
"Foggy Cove LOW 2011 6","Palmaria hecatensis","12"
"Foggy Cove LOW 2011 6","Petrocelis","2"
"Foggy Cove LOW 2011 6","Plocamium violaceum","4"
"Foggy Cove LOW 2011 6","Polyneura latissima","0.5"
"Foggy Cove LOW 2011 6","Pseudolithophyllum neofarlowii","8"
"Foggy Cove LOW 2011 6","Ptilota spp.","2"
"Foggy Cove LOW 2011 6","Rhodocorton purpureum","5"
"Foggy Cove LOW 2011 7","Alaria","12"
"Foggy Cove LOW 2011 7","Ceramium pacificum","0.5"
"Foggy Cove LOW 2011 7","Codium fragile","0.5"
"Foggy Cove LOW 2011 7","Corallina frondescens","3"
"Foggy Cove LOW 2011 7","Corallina vancouveriensis","6"
"Foggy Cove LOW 2011 7","Cryptosiphonia woodii","3"
"Foggy Cove LOW 2011 7","Egregia menziesii","5"
"Foggy Cove LOW 2011 7","Fucus distichus subsp. evanescens","4"
"Foggy Cove LOW 2011 7","Halosaccion glandiforme","1"
"Foggy Cove LOW 2011 7","Leathesia marina","1"
"Foggy Cove LOW 2011 7","Mastocarpus latissimus","10"
"Foggy Cove LOW 2011 7","Mazzaella oregona","8"
"Foggy Cove LOW 2011 7","Neorhodomela larix","4"
"Foggy Cove LOW 2011 7","Odonthalia floccosa","1"
"Foggy Cove LOW 2011 7","Palmaria hecatensis","10"
"Foggy Cove LOW 2011 7","Petrocelis","1"
"Foggy Cove LOW 2011 7","Phyllospadix","2"
"Foggy Cove LOW 2011 7","Plocamium violaceum","10"
"Foggy Cove LOW 2011 7","Polyneura latissima","1"
"Foggy Cove LOW 2011 7","Pseudolithophyllum neofarlowii","6"
"Foggy Cove LOW 2011 7","Ptilota spp.","5"
"Foggy Cove LOW 2011 7","Tokidadendron bullatum","0.5"
"Foggy Cove LOW 2011 8","Bare Rock","50"
"Foggy Cove LOW 2011 8","Acrosiphonia","1"
"Foggy Cove LOW 2011 8","Alaria","5"
"Foggy Cove LOW 2011 8","Bossiella","0.5"
"Foggy Cove LOW 2011 8","Ceramium pacificum","3"
"Foggy Cove LOW 2011 8","Corallina frondescens","0.5"
"Foggy Cove LOW 2011 8","Corallina vancouveriensis","0.5"
"Foggy Cove LOW 2011 8","Cryptosiphonia woodii","1"
"Foggy Cove LOW 2011 8","Dilsea","3"
"Foggy Cove LOW 2011 8","Egregia menziesii","2"
"Foggy Cove LOW 2011 8","Farlowia mollis","0.5"
"Foggy Cove LOW 2011 8","Fucus distichus subsp. evanescens","1"
"Foggy Cove LOW 2011 8","Halosaccion glandiforme","1"
"Foggy Cove LOW 2011 8","Hildenbrandia","5"
"Foggy Cove LOW 2011 8","Leathesia marina","0.5"
"Foggy Cove LOW 2011 8","Mastocarpus latissimus","2"
"Foggy Cove LOW 2011 8","Mazzaella splendens","1"
"Foggy Cove LOW 2011 8","Neogastroclonium subarticulatum","10"
"Foggy Cove LOW 2011 8","Neorhodomela larix","8"
"Foggy Cove LOW 2011 8","Palmaria hecatensis","6"
"Foggy Cove LOW 2011 8","Polyneura latissima","3"
"Foggy Cove LOW 2011 8","Pseudolithophyllum neofarlowii","4"
"Foggy Cove LOW 2011 8","Ptilota spp.","6"
"Foggy Cove LOW 2011 8","Ulva lactuca","4"
"Foggy Cove LOW 2011 9","Bare Rock","35"
"Foggy Cove LOW 2011 9","Acrosiphonia","0.5"
"Foggy Cove LOW 2011 9","Alaria","20"
"Foggy Cove LOW 2011 9","Analipus japonicus","0.5"
"Foggy Cove LOW 2011 9","Bossiella","0.5"
"Foggy Cove LOW 2011 9","Corallina frondescens","6"
"Foggy Cove LOW 2011 9","Corallina vancouveriensis","0.5"
"Foggy Cove LOW 2011 9","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2011 9","Hildenbrandia","1"
"Foggy Cove LOW 2011 9","Mastocarpus latissimus","3"
"Foggy Cove LOW 2011 9","Mazzaella oregona","4"
"Foggy Cove LOW 2011 9","Neorhodomela larix","3"
"Foggy Cove LOW 2011 9","Odonthalia floccosa","0.5"
"Foggy Cove LOW 2011 9","Palmaria hecatensis","12"
"Foggy Cove LOW 2011 9","Petrocelis","5"
"Foggy Cove LOW 2011 9","Plocamium violaceum","5"
"Foggy Cove LOW 2011 9","Polyneura latissima","3"
"Foggy Cove LOW 2011 9","Prionitis sternbergii","0.5"
"Foggy Cove LOW 2011 9","Pseudolithophyllum neofarlowii","3"
"Foggy Cove LOW 2011 9","Ptilota spp.","4"
"Foggy Cove LOW 2011 9","Tokidadendron bullatum","0.5"
"Foggy Cove LOW 2011 9","Ulva lactuca","0.5"
"Foggy Cove LOW 2011 10","Alaria","25"
"Foggy Cove LOW 2011 10","Ceramium pacificum","5"
"Foggy Cove LOW 2011 10","Corallina frondescens","1"
"Foggy Cove LOW 2011 10","Corallina vancouveriensis","1"
"Foggy Cove LOW 2011 10","Cryptosiphonia woodii","2"
"Foggy Cove LOW 2011 10","Fucus distichus subsp. evanescens","5"
"Foggy Cove LOW 2011 10","Halosaccion glandiforme","1"
"Foggy Cove LOW 2011 10","Mastocarpus latissimus","0.5"
"Foggy Cove LOW 2011 10","Mazzaella oregona","1"
"Foggy Cove LOW 2011 10","Neorhodomela larix","30"
"Foggy Cove LOW 2011 10","Palmaria hecatensis","12"
"Foggy Cove LOW 2011 10","Plocamium violaceum","1"
"Foggy Cove LOW 2011 10","Polyneura latissima","0.5"
"Foggy Cove LOW 2011 10","Pseudolithophyllum neofarlowii","1"
"Foggy Cove LOW 2011 10","Ptilota spp.","8"
"Foggy Cove LOW 2011 10","Ulva lactuca","1"
"Foggy Cove LOW 2012 1","Encrusting Corraline","10"
"Foggy Cove LOW 2012 1","Corallina frondescens","0.5"
"Foggy Cove LOW 2012 1","Corallina vancouveriensis","1"
"Foggy Cove LOW 2012 1","Coralline crust, unknown","10"
"Foggy Cove LOW 2012 1","Cryptosiphonia woodii","5"
"Foggy Cove LOW 2012 1","Dilsea californica","2"
"Foggy Cove LOW 2012 1","Fucus distichus","18"
"Foggy Cove LOW 2012 1","Halosaccion glandiforme","4"
"Foggy Cove LOW 2012 1","Hildenbrandia","1"
"Foggy Cove LOW 2012 1","Mastocarpus latissimus","4"
"Foggy Cove LOW 2012 1","Mazzaella oregona","5"
"Foggy Cove LOW 2012 1","Mazzaella splendens","1"
"Foggy Cove LOW 2012 1","Microcladia borealis","2"
"Foggy Cove LOW 2012 1","Neogastroclonium subarticulatum","4"
"Foggy Cove LOW 2012 1","Neorhodomela larix","40"
"Foggy Cove LOW 2012 1","Petrocelis","2"
"Foggy Cove LOW 2012 1","Phyllospadix serrulatus","35"
"Foggy Cove LOW 2012 1","Polyneura latissima","2"
"Foggy Cove LOW 2012 1","Ptilota spp.","8"
"Foggy Cove LOW 2012 1","Red Crust","1"
"Foggy Cove LOW 2012 1","Pagarus spp.","1"
"Foggy Cove LOW 2012 1","Gammaridae","present"
