ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Project Specific ID,Hakai ID,Source,Lat,Long,Gather Lat,Gather Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Filter Type,Volume (ml),Installed,Collected,Preserved,Analyzed,Lab Technician,NH4+,NO2+NO3 (uM),NO2+NO3 (ug/L),TP,TDP,TN,TDN,SRP,PO4,SiO2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,NH4+ Flag,NO2+NO3 Flag,TP FLag,TDP FLag,TN Flag,TDN FLag,SRP Flag,PO4 Flag,SiO2 Flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,Analyzing Lab,Comments,Quality Log,no2_no3_units,Sample Status,Quality Level
,7064,1,2012-05-17,CALVERT,HAKAI,"A,N,KWAK",1,PRUTH,1,NUT1,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-05-17 10:48:00,2012-05-17 00:00:00,,,,1.236,,,,,,,0.436,14.196,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7064,2,2012-05-17,CALVERT,HAKAI,"A,N,KWAK",1,PRUTH,2,NUT2,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-05-17 10:48:00,2012-05-17 00:00:00,,,,1.028,,,,,,,0.37,13.134,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7067,1,2012-05-19,CALVERT,HAKAI,"KWAK,A,N",1,PRUTH,3,NUT3,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-05-19 15:02:00,2012-05-19 00:00:00,,,,1.299,,,,,,,0.29,12.083,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7067,2,2012-05-19,CALVERT,HAKAI,"KWAK,A,N",1,PRUTH,4,NUT4,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-05-19 15:02:00,2012-05-19 00:00:00,,,,1.915,,,,,,,0.36,14.2,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7070,1,2012-06-06,CALVERT,HAKAI,"KWAK,A,N",1,PRUTH,5,NUT5,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-06 10:48:00,2012-06-06 00:00:00,,,,1.169,,,,,,,0.184,2.385,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7070,2,2012-06-06,CALVERT,HAKAI,"KWAK,A,N",1,PRUTH,6,NUT6,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-06 10:48:00,2012-06-06 00:00:00,,,,0.416,,,,,,,0.218,2.24,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7072,1,2012-06-10,CALVERT,HAKAI,KWAK,1,PRUTH,7,NUT7,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-10 10:18:00,2012-06-10 00:00:00,,,,1.632,,,,,,,0.137,1.89,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7072,2,2012-06-10,CALVERT,HAKAI,KWAK,1,PRUTH,8,NUT8,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-10 10:18:00,2012-06-10 00:00:00,,,,0.344,,,,,,,0.144,2.087,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7075,1,2012-06-16,CALVERT,HAKAI,"N,KWAK,A",1,PRUTH,10,NUT10,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-16 11:15:00,2012-06-16 00:00:00,,,,0.682,,,,,,,0.194,3.895,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7075,2,2012-06-16,CALVERT,HAKAI,"N,KWAK,A",1,PRUTH,9,NUT9,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-16 11:15:00,2012-06-16 00:00:00,,,,1.731,,,,,,,0.262,5.629,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7078,1,2012-06-21,CALVERT,HAKAI,KWAK,1,PRUTH,11,NUT11,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-21 09:11:00,2012-06-21 00:00:00,,,,0.093,,,,,,,0.048,0.958,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7078,2,2012-06-21,CALVERT,HAKAI,KWAK,1,PRUTH,12,NUT12,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-21 09:11:00,2012-06-21 00:00:00,,,,0.58,,,,,,,0.042,1.17,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
,7081,1,2012-06-28,CALVERT,HAKAI,"KWAK,N,A",1,PRUTH,13,NUT13,M,51.6554,-128.0913,,,,5,,0.45nm,13,,2012-06-28 10:45:00,2012-06-28 00:00:00,,,,0.539,,,,,,,0.177,4.806,,,,,,,,,,,,,,,,,,,,UBC,,1: Metadata has been QCd by BF,uM,Results,Technicianm
